name,place,lon,lat,distance_km,bearing_to_summit_deg,required_height_m,visibility,angular_height_deg,sunrise_align_1,sunrise_align_2
Keeragala,village,80.35687,6.79635,15.8,84.8,194.7,never,,,
Ruwanpura,village,80.57987,6.92788,15.8,214.2,-6.7,ground level,2.95,,
Goluwawila,village,80.3934,6.71378,15.8,48.0,112.9,<=150 m (50 storeys),,,
Fordyce,village,80.6348,6.85947,16.0,249.7,3.2,<=10 m (3 storeys),,,
Dehigastenna,village,80.51167,6.95587,16.2,184.8,13.9,<=30 m (10 storeys),,,
Crystlers Farm,village,80.60564,6.91009,16.2,226.5,104.9,<=150 m (50 storeys),,,
Carolina State,village,80.53028,6.95276,16.2,192.2,148.8,<=150 m (50 storeys),,,
Weralupe,village,80.40936,6.6934,16.2,37.9,149.6,<=150 m (50 storeys),,,
Lellopitiya,village,80.4826,6.66313,16.3,6.6,18.3,<=30 m (10 storeys),,,
Hidellana,village,80.3849,6.7156,16.4,50.7,2.3,<=10 m (3 storeys),,,
Hapugoda,village,80.47005,6.95457,16.4,168.6,233.8,never,,,
Agar's Land,village,80.60064,6.70105,16.4,317.0,122.4,<=150 m (50 storeys),,,
Palm Garden,village,80.389,6.71067,16.4,48.2,18.9,<=30 m (10 storeys),,,
Amithagoda,village,80.37697,6.72487,16.5,55.4,-6.7,ground level,7.433,,
Welimaluwa,village,80.46615,6.66384,16.5,12.9,-0.3,ground level,7.096,,
Annfield,village,80.63581,6.87364,16.7,244.8,18.6,<=30 m (10 storeys),,,
Kahengama,village,80.36519,6.74001,16.7,62.7,-3.9,ground level,7.313,,
Kospelawinna,village,80.39326,6.69922,16.9,44.0,2.3,<=10 m (3 storeys),,,
Pathulpana,village,80.45529,6.66341,16.9,16.9,23.5,<=30 m (10 storeys),,,
Ratnapura New Town,village,80.3809,6.71045,17.1,50.2,18.4,<=30 m (10 storeys),,,
Batugedara,village,80.41472,6.67953,17.1,33.1,-1.9,ground level,7.132,,
Nakkawita,village,80.37888,6.90639,17.1,128.9,21.5,<=30 m (10 storeys),,,
Pallebage,village,80.4567,6.95861,17.2,164.1,285.5,never,,,
Galukagama,village,80.36828,6.72365,17.3,56.8,-3.1,ground level,7.063,,
Pelwadiya,village,80.4424,6.66347,17.3,21.4,87.7,<=100 m (33 storeys),,,
Ketandola,village,80.43622,6.66437,17.5,23.6,223.3,never,,,
Tiruwanaketiya,village,80.43177,6.66536,17.6,25.2,254.6,never,,,
Kotagala,town,80.60906,6.92527,17.6,223.4,27.2,<=30 m (10 storeys),,,
Haidri,village,80.5509,6.9615,17.7,198.7,48.3,<=60 m (20 storeys),,,
Miyanawita,village,80.35911,6.88574,17.7,118.6,65.4,<=100 m (33 storeys),,,
Basnagala,village,80.40444,6.93959,17.8,143.9,-1.4,ground level,5.834,,
Ratnapura,city,80.4023,6.68037,17.9,37.0,-1.7,ground level,6.85,,
Karapincha,village,80.35195,6.74184,17.9,65.4,0.7,ground level,6.792,,
Sanchimale,village,80.66166,6.83329,18.1,261.7,6.5,<=10 m (3 storeys),,,
Ketaliyanpalla,village,80.37461,6.70309,18.1,49.6,-6.1,ground level,6.748,,
Diddeniya,village,80.33659,6.83166,18.2,97.8,-1.9,ground level,6.122,02 Mar,11 Oct
Sannasgama,village,80.50009,6.64438,18.3,359.8,-3.7,ground level,6.411,,
Dewalegama,village,80.38144,6.69262,18.4,45.3,16.1,<=30 m (10 storeys),,,
Eriyadeniya,village,80.46127,6.97189,18.5,166.8,177.3,never,,,
Mudduwa,village,80.40029,6.67437,18.5,36.3,-2.3,ground level,6.6,,
Pussella,village,80.33096,6.80774,18.6,89.5,78.2,<=100 m (33 storeys),,23 Mar,19 Sep
Bogodaaramba,village,80.50477,6.64148,18.6,358.2,-5.5,ground level,6.298,,
Queenwood,village,80.64358,6.897,18.6,238.7,119.1,<=150 m (50 storeys),,,
Pathegama,village,80.34054,6.75478,18.6,71.1,2.7,<=10 m (3 storeys),,18 May,25 Jul
Imbulpitiya,village,80.34024,6.86266,18.6,108.5,137.4,<=150 m (50 storeys),,30 Jan,11 Nov
Muwagama,village,80.38759,6.68133,18.8,41.2,-2.9,ground level,6.429,,
,village,80.44327,6.64801,18.9,19.2,51.0,<=60 m (20 storeys),,,
Kahangama,village,80.36555,6.70224,19.0,51.3,-2.8,ground level,6.465,,
Polpitiya,village,80.45065,6.97647,19.2,163.8,107.9,<=150 m (50 storeys),,,
Samagipura,village,80.38901,6.67408,19.3,39.2,-10.7,ground level,6.006,,
Kuttapitiya,village,80.56976,6.64708,19.6,336.6,223.3,never,,,
Gurubewila,village,80.64869,6.71328,19.6,302.8,795.4,never,,,
Ganegama,village,80.52285,6.6333,19.6,352.5,-6.4,ground level,5.926,,
Hemmingford,village,80.32557,6.84728,19.7,102.3,34.7,<=60 m (20 storeys),,18 Feb,23 Oct
Bogawantalawa,town,80.6781,6.79624,19.8,274.3,138.9,<=150 m (50 storeys),,,
Samanala Waththa,village,80.62088,6.67728,19.8,317.5,67.8,<=100 m (33 storeys),,,
Ginigathhena,town,80.49418,6.98909,19.9,178.4,-4.9,ground level,4.307,,
Pahalakalugala,village,80.45429,6.98363,19.9,165.5,146.4,<=150 m (50 storeys),,,
Kithulpe,village,80.33826,6.73025,19.9,63.9,25.0,<=30 m (10 storeys),,,
Digowwa,village,80.33443,6.88434,20.0,114.5,83.0,<=100 m (33 storeys),,,
Rassagala,village,80.63859,6.69281,20.1,310.0,485.8,never,,,
Udapola,village,80.34103,6.90608,20.5,121.4,7.4,<=10 m (3 storeys),,,
Dimbula State,village,80.60927,6.95866,20.5,216.4,57.0,<=60 m (20 storeys),,,
Torrington State,village,80.67847,6.85707,20.5,255.1,440.7,never,,,
Theppanawa,village,80.31814,6.77205,20.5,78.4,1.6,ground level,5.962,22 Apr,20 Aug
Parakaduwa,village,80.3141,6.82557,20.6,95.0,37.8,<=60 m (20 storeys),,09 Mar,03 Oct
Rilhena,village,80.52841,6.62573,20.6,351.1,-8.8,ground level,5.523,,
Bogawantalawa South,village,80.68375,6.7796,20.6,279.2,168.3,never,,,
Kotamulla,village,80.38242,6.66449,20.6,38.9,25.3,<=30 m (10 storeys),,,
Karangoda,village,80.36468,6.68016,20.6,46.2,-4.4,ground level,5.905,,
Pannila,village,80.32212,6.86803,20.6,108.3,-5.9,ground level,5.371,30 Jan,11 Nov
Dimbula,village,80.62819,6.94916,21.0,222.7,33.3,<=60 m (20 storeys),,,
Erabadda,village,80.48165,6.62039,21.0,5.4,389.2,never,,,
Pathberiya,village,80.31206,6.84011,21.0,99.3,25.0,<=30 m (10 storeys),,26 Feb,15 Oct
Pelmadulla,town,80.54315,6.62343,21.1,346.8,-0.8,ground level,5.488,,
Troup State,village,80.65148,6.92535,21.1,232.7,133.9,<=150 m (50 storeys),,,
Ranahinkanda,village,80.33794,6.91358,21.2,122.9,-3.0,ground level,5.574,,
Pudukatuwa Town,village,80.67455,6.73074,21.2,294.2,871.0,never,,,
Dambuluwana,village,80.33539,6.71087,21.2,59.0,-8.6,ground level,5.745,,
Kehelwala,village,80.35806,6.93985,21.3,132.7,-0.1,ground level,4.928,,
Dela,village,80.454,6.62159,21.4,13.6,297.3,never,,,
Pathana,village,80.60795,6.96947,21.4,214.1,87.5,<=100 m (33 storeys),,,
Godagampola,village,80.31702,6.88156,21.7,111.6,27.9,<=30 m (10 storeys),,17 Jan,25 Nov
Deraniyagala,town,80.33851,6.92727,22.0,126.3,-2.6,ground level,5.368,,
Gorakela,village,80.31702,6.73092,22.0,66.7,-3.8,ground level,5.523,,
Dekinda,village,80.51769,7.00794,22.0,185.3,169.9,never,,,
Pallebage,village,80.39533,6.9791,22.0,148.5,95.7,<=100 m (33 storeys),,,
Devon,village,80.64435,6.94683,22.1,226.5,81.8,<=100 m (33 storeys),,,
Banawaththa,village,80.67226,6.70872,22.1,300.3,851.1,never,,,
Thennekubura,village,80.67375,6.71239,22.1,299.1,1024.8,never,,,
Hangamuwa,village,80.39024,6.64067,22.2,32.9,-0.1,ground level,5.454,,
Pinnawala Town,town,80.67821,6.71798,22.2,297.1,1237.7,never,,,
Samangama,village,80.34547,6.67953,22.3,49.9,-9.3,ground level,5.361,,
Minuwanarawa,village,80.67393,6.70736,22.3,300.4,835.2,never,,,
Bodhimaluwa,village,80.29749,6.82015,22.4,93.1,-1.9,ground level,5.423,14 Mar,29 Sep
Elapatha,village,80.36772,6.65606,22.4,40.7,-0.5,ground level,5.394,,
Ambalanpitiya,village,80.30426,6.86464,22.4,105.8,19.4,<=30 m (10 storeys),,08 Feb,02 Nov
Arawa,village,80.68195,6.72215,22.4,295.6,1044.3,never,,,
Pallehawaththa,village,80.67453,6.70598,22.5,300.6,808.6,never,,,
Ambanawela,village,80.3308,6.92472,22.6,124.4,-12.4,ground level,5.075,,
Marathenna,village,80.69256,6.74099,22.6,289.5,795.7,never,,,
Campion Estate,village,80.70272,6.78157,22.7,277.8,154.6,never,,,
Westhall,village,80.57156,7.00169,22.7,200.6,78.2,<=100 m (33 storeys),,,
Metihakwala,village,80.60236,6.63153,22.7,330.0,503.8,never,,,
Nagasena,village,80.67993,6.90871,22.8,241.2,495.5,never,,,
Holbrook,village,80.69217,6.88299,22.8,249.1,254.6,never,,,
Thunandahena,village,80.30704,6.73615,22.8,69.2,4.4,<=10 m (3 storeys),,26 May,17 Jul
Talawakele,town,80.66147,6.93808,22.9,231.6,210.8,never,,,
Meddekanda,village,80.66106,6.67899,23.0,308.9,605.2,never,,,
Magurugoda,village,80.39962,6.62739,23.0,28.8,43.9,<=60 m (20 storeys),,,
Kithulgala,town,80.40849,6.99787,23.1,154.3,193.1,never,,,
Ambagamuwa,village,80.49303,7.01886,23.2,178.3,-4.3,ground level,3.833,,
Kiribathgala,village,80.51751,6.59847,23.4,355.1,534.2,never,,,
Gangulwitiya,village,80.38186,6.63393,23.4,33.9,10.1,<=30 m (10 storeys),,,
Kanathiriyanwala,village,80.68525,6.70618,23.5,299.1,1110.9,never,,,
Morathota,village,80.57916,6.61273,23.5,338.0,194.9,never,,,
Agarapathana,town,80.70555,6.86413,23.6,255.2,423.2,never,,,
Inguru Oya,village,80.54513,7.01818,23.6,192.4,215.0,never,,,
Balanthota,village,80.50001,7.02401,23.7,180.2,5.5,<=10 m (3 storeys),,,
Pambagama,village,80.30155,6.89139,23.7,112.5,-11.1,ground level,4.462,11 Jan,30 Nov
Kehelowitigama,village,80.32307,6.68378,23.9,54.6,76.5,<=100 m (33 storeys),,,
Nivithigala,town,80.45779,6.59591,24.1,11.1,149.0,<=150 m (50 storeys),,,
Massenna,village,80.65871,6.6608,24.1,313.1,124.1,<=150 m (50 storeys),,,
Palawela,village,80.3536,6.64578,24.2,41.7,16.1,<=30 m (10 storeys),,,
Panawenna,village,80.55796,6.59896,24.2,344.5,-2.0,ground level,4.727,,
Hunuwala,village,80.59293,6.6111,24.2,334.8,441.7,never,,,
Watagoda,village,80.65029,6.97058,24.4,223.1,66.3,<=100 m (33 storeys),,,
Watapotha,village,80.5023,6.58775,24.5,359.3,465.7,never,,,
Lindula,town,80.68703,6.92717,24.5,237.9,182.0,never,,,
Yakdehiwaththa,village,80.43841,6.5968,24.5,16.0,30.2,<=60 m (20 storeys),,,
Bopaththalawa,village,80.71935,6.84547,24.6,260.7,336.3,never,,,
Uyangoda,village,80.29151,6.72687,24.7,68.4,-0.8,ground level,4.913,31 May,12 Jul
Palmerston,village,80.67648,6.94686,24.8,232.2,69.7,<=100 m (33 storeys),,,
Beramana,village,80.62705,6.99404,24.8,214.7,274.8,never,,,
Niri-Ella,village,80.36103,6.63325,24.8,38.2,-2.0,ground level,4.814,,
Madagammana,village,80.28826,6.88489,24.8,109.7,189.5,never,,,
Ilukthanna,village,80.32496,6.95392,25.0,129.7,22.8,<=30 m (10 storeys),,,
Hinguralakanda,village,80.30021,6.91642,25.0,118.3,55.6,<=60 m (20 storeys),,,
Atawakwela,village,80.70184,6.70876,25.0,296.5,1065.8,never,,,
