name,place,lon,lat,distance_km,bearing_to_summit_deg,required_height_m,visibility,angular_height_deg,sunrise_align_1,sunrise_align_2
Welikala,village,80.03903,6.70892,52.1,77.7,13.6,<=30 m (10 storeys),,22 Apr,20 Aug
Makehelwala,village,80.45646,7.27926,52.2,174.8,274.9,never,,,
Ranwala,village,80.33254,7.25114,52.2,159.4,129.6,<=150 m (50 storeys),,,
Dangolla,village,80.61291,7.26792,52.2,193.9,194.9,never,,,
Illagolla,village,80.8226,7.15429,52.2,223.1,1153.2,never,,,
Pokunuwita,village,80.03396,6.72603,52.3,79.9,-0.1,ground level,2.179,16 Apr,26 Aug
Attanagalla,village,80.13677,7.11384,52.3,130.1,28.4,<=30 m (10 storeys),,,
Marassana,village,80.73899,7.21731,52.3,210.4,805.6,never,,,
Moragala,village,80.17965,6.46112,52.3,42.6,140.0,<=150 m (50 storeys),,,
Danture,village,80.53426,7.28204,52.4,184.2,93.0,<=100 m (33 storeys),,,
Pelahela,village,80.05833,6.98339,52.4,111.6,0.1,ground level,2.154,14 Jan,27 Nov
Bootawatte,village,80.70165,7.23849,52.4,205.2,667.3,never,,,
Wathuliyadda,village,80.6489,7.25904,52.4,198.4,542.2,never,,,
Olaboduwa,village,80.02661,6.7707,52.4,85.4,0.9,ground level,2.154,01 Apr,10 Sep
Kanewala,village,80.03338,6.71845,52.5,79.0,8.2,<=10 m (3 storeys),,19 Apr,24 Aug
Imbulmalgama,village,80.54997,7.28125,52.5,186.1,4.1,<=10 m (3 storeys),,,
Rattapitiya,village,80.51688,7.28429,52.5,182.1,190.0,never,,,
Ballapana,village,80.29123,7.23624,52.5,154.1,135.8,<=150 m (50 storeys),,,
Mudunakade,village,80.69903,7.2416,52.6,204.8,524.6,never,,,
Dehideniya,village,80.58497,7.27761,52.6,190.4,64.0,<=100 m (33 storeys),,,
Kumbuka,village,80.02862,6.73562,52.7,81.1,25.7,<=30 m (10 storeys),,13 Apr,30 Aug
Pallegama,village,80.52482,6.33303,52.8,357.0,453.5,never,,,
Nildandahinna,town,80.89337,7.08045,52.8,235.5,1576.4,never,,,
Dedigamuwa,village,80.02849,6.89138,52.8,99.9,-2.0,ground level,2.143,23 Feb,18 Oct
Ranala,village,80.03431,6.91705,52.8,103.1,8.5,<=10 m (3 storeys),,14 Feb,27 Oct
Nikapotha,village,80.9732,6.74506,52.8,277.7,1463.6,never,,,
Henagama,village,80.02895,6.72473,52.8,79.9,6.9,<=10 m (3 storeys),,16 Apr,26 Aug
Randeniya,village,80.38288,7.27334,52.9,165.9,442.8,never,,,
Lenewara,village,80.03559,6.69317,52.9,76.0,19.2,<=30 m (10 storeys),,28 Apr,14 Aug
Perahettiya,village,80.97087,6.89408,52.9,259.8,944.8,never,,,
Kiriwattuduwa,village,80.02018,6.79985,53.0,88.9,6.8,<=10 m (3 storeys),,23 Mar,19 Sep
Panagoda,village,80.02331,6.86502,53.0,96.7,5.1,<=10 m (3 storeys),,04 Mar,09 Oct
Thalagolla,village,80.45151,7.28606,53.0,174.3,322.9,never,,,
Adiyarawatta,village,80.93016,7.01967,53.0,244.0,999.5,never,,,
Pahala Mapitigama,village,80.03604,6.93252,53.0,104.9,-0.5,ground level,2.135,09 Feb,01 Nov
Malulla,village,80.79025,7.19078,53.0,217.3,1299.3,never,,,
Matugama,town,80.11426,6.52295,53.1,53.4,49.3,<=60 m (20 storeys),,,
Kelesgamuwa,village,80.03105,6.70425,53.1,77.4,3.3,<=10 m (3 storeys),,23 Apr,19 Aug
Poththapitiya,village,80.49373,7.28917,53.1,179.4,253.8,never,,,
Banagala,village,80.94468,6.62875,53.1,292.1,1206.7,never,,,
Yattogoda,village,80.27926,7.23644,53.1,152.8,112.5,<=150 m (50 storeys),,,
Kobbewala,village,80.3001,7.24634,53.1,155.5,13.1,<=30 m (10 storeys),,,
Pallegama,village,80.96385,6.93275,53.1,255.1,811.3,never,,,
Nilwakka,village,80.36352,7.26966,53.1,163.6,93.8,<=100 m (33 storeys),,,
Talatuoya,town,80.69036,7.25151,53.2,203.4,494.7,never,,,
Henegama,village,80.02617,6.7219,53.2,79.6,-3.7,ground level,2.127,17 Apr,25 Aug
Algama,village,80.16563,7.15636,53.2,136.2,95.5,<=100 m (33 storeys),,,
Kiriyathenna,village,80.45143,7.28849,53.2,174.3,302.5,never,,,
Meegahathenna,village,80.19166,6.43909,53.2,39.8,53.6,<=60 m (20 storeys),,,
Gannoruwa,village,80.59253,7.28245,53.3,191.2,12.8,<=30 m (10 storeys),,,
Pattiyagedara,village,80.97753,6.87599,53.3,262.1,1059.3,never,,,
Keragala,village,80.05882,7.00451,53.3,114.0,-0.5,ground level,2.092,,
Galauda,village,80.81694,7.17255,53.3,221.2,1271.9,never,,,
Beddewela,village,80.4506,7.28996,53.4,174.2,316.5,never,,,
Dekatana,town,80.04281,6.96998,53.5,109.4,53.4,<=60 m (20 storeys),,24 Jan,17 Nov
Dodamwala,village,80.5386,7.292,53.5,184.7,-2.2,ground level,1.371,,
Godamuduna,village,80.55611,7.28961,53.5,186.8,5.5,<=10 m (3 storeys),,,
Kiwullinda,village,80.71954,7.24042,53.5,207.1,675.5,never,,,
Kella,village,80.70265,6.37011,53.5,335.2,349.2,never,,,
Bambarapana,village,80.95474,6.97477,53.5,250.0,1007.9,never,,,
Wilimbula,village,80.06603,7.02654,53.6,116.7,0.1,ground level,2.088,,
Eth wala,village,80.31972,6.3594,53.6,21.8,200.9,never,,,
Kamburagalla,village,80.11527,7.10698,53.7,127.8,-4.3,ground level,2.079,,
Nelundeniya,suburb,80.26212,7.23411,53.8,150.9,25.3,<=30 m (10 storeys),,,
Siyambalapitiya,village,80.34568,7.27143,53.8,161.7,11.4,<=30 m (10 storeys),,,
Ampitiya,village,80.6663,7.26787,53.9,200.0,519.3,never,,,
Edurapotha,village,80.32687,7.26564,53.9,159.3,26.2,<=30 m (10 storeys),,,
Kossinna,village,80.6812,7.26133,53.9,201.9,499.6,never,,,
Kalukondayawa,village,80.03388,6.95542,53.9,107.5,2.0,<=10 m (3 storeys),,01 Feb,10 Nov
Gonapola,village,80.01305,6.76386,54.0,84.7,8.4,<=10 m (3 storeys),,03 Apr,08 Sep
Mailapitiya,village,80.7517,7.22817,54.0,211.1,912.6,never,,,
,village,80.56526,7.29332,54.0,187.8,158.6,never,,,
Habarakada,village,80.01348,6.86568,54.1,96.7,-1.8,ground level,2.084,04 Mar,09 Oct
Bandarawela,town,80.98882,6.83048,54.1,267.5,994.8,never,,,
Keerthibandarapura,village,80.85577,7.14543,54.1,226.7,1709.1,never,,,
Pupulaketiya,village,80.6861,6.35753,54.1,337.6,581.0,never,,,
Happawara,village,80.83463,7.16566,54.1,223.2,1573.9,never,,,
Hiriwadunna,village,80.38441,7.28667,54.3,166.5,488.6,never,,,
Mullegama,village,80.01386,6.88426,54.3,98.8,3.4,<=10 m (3 storeys),,26 Feb,15 Oct
Muruthalawa,village,80.57079,7.29524,54.3,188.4,65.5,<=100 m (33 storeys),,,
Palannoruwa,village,80.00922,6.77794,54.3,86.4,36.6,<=60 m (20 storeys),,30 Mar,13 Sep
Wathurakumbura,village,80.54506,7.29906,54.4,185.3,15.9,<=30 m (10 storeys),,,
Adhikarigama,town,80.78056,7.21353,54.4,214.8,1112.7,never,,,
Dambawela,village,80.68362,7.2655,54.4,202.0,381.6,never,,,
Madulla,village,80.92787,7.0524,54.4,240.4,1440.2,never,,,
Halloluwa,village,80.6071,7.29073,54.5,192.6,64.8,<=100 m (33 storeys),,,
Udukumbura,village,80.24396,7.23149,54.5,148.9,81.7,<=100 m (33 storeys),,,
Dodamwala,suburb,80.61463,7.2887,54.5,193.5,43.3,<=60 m (20 storeys),,,
Lemastota,village,80.98954,6.75545,54.5,276.3,1556.9,never,,,
Pelawatta,village,80.21654,6.40577,54.5,35.1,220.8,never,,,
Parangoda,village,80.03423,6.97204,54.5,109.3,3.8,<=10 m (3 storeys),,25 Jan,17 Nov
Thebuwana,village,80.05489,6.59368,54.6,64.2,35.8,<=60 m (20 storeys),,,
Dehianga,village,80.5548,7.30013,54.6,186.5,-4.2,ground level,1.456,,
Katukele,suburb,80.62737,7.28661,54.6,195.0,353.8,never,,,
Kebillawela,village,80.99354,6.81818,54.6,269.0,1085.6,never,,,
Mahaulpatha,village,80.99307,6.82558,54.6,268.1,923.8,never,,,
Uduwana,village,80.00561,6.82559,54.6,91.9,-3.1,ground level,2.049,16 Mar,27 Sep
Nawagamuwa,village,80.01531,6.90818,54.6,101.6,-5.1,ground level,2.067,19 Feb,22 Oct
Maspanna,village,80.94117,7.03069,54.6,243.4,1286.7,never,,,
Koralaima,village,80.00652,6.77114,54.7,85.6,3.5,<=10 m (3 storeys),,01 Apr,11 Sep
Nawagamuwa,village,80.01843,6.92431,54.7,103.5,-1.4,ground level,2.068,13 Feb,28 Oct
Illukmodara,suburb,80.67439,7.27342,54.8,200.7,467.5,never,,,
Dimbulana,village,80.9531,7.00996,54.8,246.1,1211.3,never,,,
Millaniya,village,80.02082,6.67998,54.8,74.9,3.5,<=10 m (3 storeys),,01 May,11 Aug
Ellawela,village,80.9833,6.91694,54.8,257.5,657.1,never,,,
Raigama,village,80.01084,6.71864,54.9,79.5,6.8,<=10 m (3 storeys),,17 Apr,25 Aug
Hiripitiya,village,80.0672,7.05446,54.9,119.6,-0.5,ground level,2.031,,
Gurudeniya,suburb,80.68672,7.26922,54.9,202.2,418.9,never,,,
Horawala,village,80.12714,6.48082,54.9,48.6,68.2,<=100 m (33 storeys),,,
Homagama,town,80.00345,6.84124,54.9,93.7,-1.8,ground level,2.038,11 Mar,02 Oct
Timbolketiya,village,80.79609,6.41175,54.9,323.3,178.0,never,,,
Ettalapitiya,village,80.99402,6.85562,54.9,264.7,1069.2,never,,,
Karadetiyana,village,80.34971,7.28266,54.9,162.5,108.9,<=150 m (50 storeys),,,
Rideethotuwa,village,80.28974,7.26061,55.0,155.1,138.8,<=150 m (50 storeys),,,
Walakada,village,80.69798,6.35286,55.1,336.5,458.1,never,,,
Anniewatta,village,80.62417,7.29229,55.1,194.5,107.1,<=150 m (50 storeys),,,
Bindunuwewa,village,80.99651,6.84581,55.1,265.8,1314.2,never,,,
Kalaganwaththa,village,80.89826,7.10855,55.1,233.1,1572.6,never,,,
Udawalawe,town,80.81721,6.42414,55.2,320.5,375.3,never,,,
Haragama,village,80.71558,7.26053,55.3,205.6,661.1,never,,,
Thawalama,village,80.34058,6.33518,55.3,18.6,268.9,never,,,
Wathupitiwala,suburb,80.11101,7.12562,55.4,129.2,-1.2,ground level,2.004,,
Arakagoda,village,80.01543,6.67789,55.4,74.9,-0.3,ground level,2.034,01 May,11 Aug
Medipokuna,village,80.96486,6.99641,55.4,248.1,1178.5,never,,,
Tennekumbura,suburb,80.66279,7.28363,55.5,199.0,689.2,never,,,
Kandy,city,80.63504,7.29312,55.5,195.7,382.9,never,,,
Nattarampota,suburb,80.67529,7.28001,55.5,200.5,499.8,never,,,
Ihala Bomiriya,village,80.01156,6.92848,55.5,103.8,-2.6,ground level,2.028,12 Feb,29 Oct
Godigamuwa East,village,79.99936,6.75644,55.6,84.0,2.0,<=10 m (3 storeys),,05 Apr,06 Sep
Nayabedde State,village,81.00209,6.80056,55.6,271.0,716.4,never,,,
Akwaththa,village,80.25702,7.25023,55.6,151.3,12.7,<=30 m (10 storeys),,,
Yatihalagala,village,80.59277,7.30336,55.6,190.7,102.3,<=150 m (50 storeys),,,
Diyagama,village,79.99536,6.81038,55.7,90.2,-0.6,ground level,2.005,20 Mar,22 Sep
Pinnawala,village,80.3863,7.30043,55.7,167.1,375.1,never,,,
Dapane,village,80.67302,6.3368,55.7,339.9,882.2,never,,,
Malwana,town,80.01519,6.9481,55.7,106.0,-1.4,ground level,2.024,05 Feb,05 Nov
MoonValley Estate,village,80.68314,7.27807,55.7,201.4,573.4,never,,,
Imbuldeniya,village,80.34939,7.29135,55.8,162.8,30.2,<=60 m (20 storeys),,,
Pandiwatte,village,80.67336,7.28291,55.8,200.2,542.5,never,,,
Dambetenne,village,81.00412,6.7827,55.9,273.0,1011.6,never,,,
Thanthiriya,village,81.00424,6.83449,55.9,267.2,1048.7,never,,,
Kalubowitiyana,town,80.40225,6.31378,55.9,11.1,522.7,never,,,
Gelanigama,village,80.00136,6.71877,56.0,79.7,0.1,ground level,2.011,16 Apr,26 Aug
Walgama Junction,suburb,79.99587,6.86506,56.0,96.4,1.4,ground level,1.998,05 Mar,08 Oct
Ettampitiya,town,80.98957,6.93696,56.0,255.4,612.1,never,,,
Kundasale,suburb,80.68446,7.28045,56.0,201.4,567.1,never,,,
Talwatta,suburb,80.65504,7.2911,56.0,197.9,632.3,never,,,
Morangahathenna,village,80.8924,7.12983,56.0,230.8,1522.4,never,,,
Galpatha,village,80.02494,6.6294,56.1,69.3,7.6,<=10 m (3 storeys),,24 May,19 Jul
Dewalegama,village,80.3222,7.28442,56.1,159.6,130.0,<=150 m (50 storeys),,,
Bomiriya,village,80.00726,6.93171,56.1,104.0,-1.1,ground level,1.997,12 Feb,29 Oct
Gohagoda,suburb,80.61265,7.30378,56.1,192.9,-0.1,ground level,1.503,,
Asgiriya,suburb,80.62903,7.30043,56.1,194.8,165.4,never,,,
Beligala,village,80.27294,7.26335,56.1,153.5,98.4,<=100 m (33 storeys),,,
Makalandaawa,village,80.1995,6.40015,56.1,36.3,130.9,<=150 m (50 storeys),,,
Ranpokunagama,village,80.10994,7.13687,56.2,130.1,5.9,<=10 m (3 storeys),,,
Kanduboda,village,80.02067,6.98186,56.2,109.9,1.5,ground level,1.974,22 Jan,19 Nov
Tholangamuwa,village,80.22439,7.23648,56.2,147.3,69.5,<=100 m (33 storeys),,,
Gawela,village,80.98609,6.95712,56.2,253.1,939.3,never,,,
Doolwala,village,80.59678,7.30912,56.3,191.0,179.3,never,,,
Korathota,village,80.00103,6.91454,56.3,102.0,12.6,<=30 m (10 storeys),,18 Feb,23 Oct
Udamaadura,village,80.92102,7.09578,56.3,235.8,1820.7,never,,,
Pallekele,suburb,80.69607,7.28053,56.4,202.7,399.3,never,,,
Yaalagamuwa,village,80.9498,7.04895,56.4,242.0,1305.8,never,,,
Mahaiyawa,suburb,80.63317,7.30166,56.4,195.2,315.6,never,,,
Oruwala,village,79.99553,6.89195,56.4,99.4,4.5,<=10 m (3 storeys),,25 Feb,16 Oct
Dharshanapura,village,80.69426,7.2821,56.5,202.4,367.8,never,,,
Kotabathma,village,81.00485,6.73375,56.5,278.5,1659.5,never,,,
Maduwegedara,village,80.09755,7.12596,56.5,128.3,2.4,<=10 m (3 storeys),,,
Dulgolla,village,81.01059,6.81515,56.5,269.4,1071.9,never,,,
Buwelikada,suburb,80.64985,7.29812,56.5,197.1,645.3,never,,,
Kadigamuwa,village,80.42803,7.31494,56.5,172.0,351.4,never,,,
Ginnaliya,village,80.65473,6.3221,56.6,342.3,747.5,never,,,
Godigamuwa West,village,79.99125,6.74854,56.6,83.2,-0.9,ground level,1.99,07 Apr,04 Sep
Thiththavelmankada,village,80.14861,7.1829,56.6,136.9,42.4,<=60 m (20 storeys),,,
Danowita,village,80.17411,7.20515,56.6,140.7,86.9,<=100 m (33 storeys),,,
Trinity Gardens,suburb,80.6993,7.28154,56.7,202.9,438.1,never,,,
Lewella,village,80.65729,7.29772,56.7,197.9,666.7,never,,,
Kinigama,village,81.01222,6.82763,56.7,268.0,878.9,never,,,
Weragoda,village,80.29044,7.27803,56.7,156.0,27.1,<=30 m (10 storeys),,,
Kahabiliyawala,village,80.2527,7.2587,56.7,151.3,5.7,<=10 m (3 storeys),,,
Athurugiriya,town,79.98993,6.87725,56.8,97.6,0.8,ground level,1.957,01 Mar,12 Oct
Warakapola,town,80.19654,7.22496,56.8,144.0,46.9,<=60 m (20 storeys),,,
Kulugammana,village,80.58934,7.31563,56.8,190.1,113.0,<=150 m (50 storeys),,,
Thudugala,village,80.04844,6.56327,56.8,61.4,56.3,<=60 m (20 storeys),,,
Pohorambe,village,80.34583,7.29929,56.8,162.6,54.6,<=60 m (20 storeys),,,
Nambuluwa,village,80.13468,7.1723,56.9,134.9,44.3,<=60 m (20 storeys),,,
Kelipanawela,village,81.00545,6.71463,56.9,280.6,1370.5,never,,,
Lalitha Rajapaksha Village,village,80.21883,6.37784,56.9,33.1,9.4,<=10 m (3 storeys),,,
Dummaladeniya,village,80.18887,7.22091,57.0,143.0,84.2,<=100 m (33 storeys),,,
Omalpe,village,80.68496,6.32881,57.0,338.9,552.4,never,,,
Naranwala,village,80.02283,7.00729,57.0,112.6,0.7,ground level,1.948,08 Jan,04 Dec
Weliwita Ihalagama,village,80.50511,7.32484,57.0,180.7,710.4,never,,,
Weniwelakola,village,79.98487,6.77291,57.0,86.0,-1.2,ground level,1.947,31 Mar,12 Sep
Kahathuduwa,village,79.98397,6.78313,57.1,87.1,-0.5,ground level,1.969,28 Mar,15 Sep
Halpitiya,village,79.98542,6.7551,57.1,84.0,-1.0,ground level,1.968,05 Apr,06 Sep
Deepangoda,village,79.98271,6.81372,57.1,90.5,-1.5,ground level,1.945,19 Mar,23 Sep
Mahawaththa,village,80.67898,7.29345,57.1,200.4,452.7,never,,,
Degaldoruwa,village,80.66233,7.29902,57.1,198.4,672.2,never,,,
Brahmanagama,village,79.98181,6.82151,57.2,91.4,0.0,ground level,1.951,17 Mar,26 Sep
Delgoda,town,80.01333,6.98706,57.2,110.1,5.6,<=10 m (3 storeys),,21 Jan,20 Nov
Kotapola,village,80.54418,6.29381,57.2,355.1,746.1,never,,,
Ranawiru Uyana,suburb,80.70523,7.28389,57.2,203.4,413.8,never,,,
Mapanawatura,suburb,80.62828,7.31077,57.2,194.4,135.8,<=150 m (50 storeys),,,
Hathamuna,village,79.98246,6.81671,57.2,90.9,-0.3,ground level,1.946,18 Mar,24 Sep
Walgama,village,79.98439,6.86397,57.2,96.1,-4.4,ground level,1.928,05 Mar,08 Oct
Kondadeniya,suburb,80.61749,7.31306,57.2,193.2,38.3,<=60 m (20 storeys),,,
Udupila,suburb,80.0155,6.99438,57.3,111.0,7.1,<=10 m (3 storeys),,17 Jan,24 Nov
Pachchakaatuwa,suburb,80.7043,7.285,57.3,203.3,444.1,never,,,
Pasyala,town,80.1242,7.16844,57.4,133.8,0.0,ground level,1.911,,
Bandaragama,town,79.98897,6.71451,57.4,79.5,-0.2,ground level,1.944,17 Apr,25 Aug
Urubokka,town,80.63135,6.30756,57.4,345.3,747.3,never,,,
Sirimalwatta,suburb,80.65885,7.30312,57.4,197.9,658.6,never,,,
Uguressapitiya,village,80.60115,7.31822,57.4,191.3,104.1,<=150 m (50 storeys),,,
Pore,village,79.98468,6.87985,57.4,97.9,1.1,ground level,1.946,01 Mar,12 Oct
Ambepussa,suburb,80.21098,7.24215,57.5,146.4,2.9,<=10 m (3 storeys),,,
Wattarantenna,suburb,80.62562,7.31387,57.5,194.1,146.5,<=150 m (50 storeys),,,
Uva Neluwa,village,81.00969,6.91152,57.5,258.7,794.0,never,,,
Kirigampamunuwa,village,79.97856,6.80539,57.6,89.6,-2.3,ground level,1.931,22 Mar,21 Sep
Hiripitiya,village,79.97886,6.82996,57.6,92.3,-2.6,ground level,1.924,15 Mar,28 Sep
Malagammana,village,80.58112,7.32417,57.6,189.0,81.3,<=100 m (33 storeys),,,
Weliweriya,town,80.02835,7.03228,57.6,115.4,-0.9,ground level,1.923,,
Batuwatta,village,80.31196,7.29559,57.6,159.0,14.9,<=30 m (10 storeys),,,
Kosmodara,village,80.56047,6.29131,57.7,353.3,679.6,never,,,
Aruppola,suburb,80.64624,7.30975,57.7,196.4,526.9,never,,,
Bandara Eliya,village,81.02126,6.7891,57.7,272.2,876.5,never,,,
Balagolla,suburb,80.71591,7.28548,57.8,204.5,482.5,never,,,
Koslanda,town,81.01825,6.74357,57.8,277.2,1598.9,never,,,
Thennelanda,village,80.80256,7.23504,57.8,215.4,1334.2,never,,,
Hambegamuwa,village,80.94856,6.54123,57.8,300.9,2.5,<=10 m (3 storeys),,,
Heeloya,village,81.02117,6.84483,57.8,266.1,1298.0,never,,,
Nambuluwa,village,79.9761,6.82635,57.9,91.9,18.4,<=30 m (10 storeys),,16 Mar,27 Sep
Hokandara North,village,79.98093,6.88162,57.9,98.0,1.0,ground level,1.934,28 Feb,13 Oct
Barigama,village,80.57803,7.32682,57.9,188.7,61.1,<=100 m (33 storeys),,,
Nittambuwa,town,80.0965,7.14408,57.9,129.8,2.7,<=10 m (3 storeys),,,
Mahena,village,80.20552,7.24302,57.9,145.9,22.8,<=30 m (10 storeys),,,
Ragalkanda,village,80.2491,7.26952,57.9,151.5,-4.0,ground level,1.862,,
Rambukkana,town,80.39575,7.32393,58.0,168.7,505.8,never,,,
Mattegoda,village,79.9747,6.81213,58.0,90.4,1.0,ground level,1.91,20 Mar,23 Sep
Koskandawala,village,80.04998,7.07961,58.0,121.1,58.7,<=60 m (20 storeys),,,
Dorapane,village,80.67607,6.31578,58.0,340.3,807.5,never,,,
Hatharaliyadda,town,80.46893,7.33269,58.0,176.7,756.5,never,,,
Ranawana,village,80.33696,7.30794,58.0,162.0,140.5,<=150 m (50 storeys),,,
Naranbedda,village,80.36194,7.31612,58.1,164.9,320.8,never,,,
Mawilmada,village,80.62969,7.31812,58.1,194.4,143.1,<=150 m (50 storeys),,,
Summer Field,village,80.71792,7.2871,58.1,204.6,489.6,never,,,
Mangedara,village,80.22135,7.25558,58.1,148.1,67.9,<=100 m (33 storeys),,,
Nugawela,village,80.58762,7.32833,58.2,189.7,111.4,<=150 m (50 storeys),,,
Wathuwala,village,80.60374,7.32548,58.2,191.4,114.7,<=150 m (50 storeys),,,
Biyagama,village,79.99056,6.94449,58.2,104.9,-1.1,ground level,1.917,09 Feb,01 Nov
Godapola,village,80.31459,7.30241,58.2,159.5,52.5,<=60 m (20 storeys),,,
Makumbura,village,79.97269,6.83923,58.3,93.3,-2.1,ground level,1.897,12 Mar,30 Sep
Pilawala,village,80.67877,7.30525,58.3,199.9,463.1,never,,,
Aladeniya,village,80.57107,7.33137,58.3,187.8,69.7,<=100 m (33 storeys),,,
Halpe,village,81.02033,6.89362,58.3,260.8,1012.9,never,,,
Pahala Kalugala,village,80.26723,7.28308,58.3,154.0,29.2,<=30 m (10 storeys),,,
Katugastota,town,80.62496,7.32208,58.4,193.8,72.0,<=100 m (33 storeys),,,
Meeriyabedda State,village,81.02599,6.76187,58.4,275.2,1335.0,never,,,
Theripehe,village,80.92787,7.11851,58.4,234.2,1912.2,never,,,
Walallawita,village,80.19653,6.37732,58.4,35.1,98.9,<=100 m (33 storeys),,,
Malapalla,village,79.9713,6.84467,58.5,93.9,-0.0,ground level,1.881,11 Mar,02 Oct
Kempane,village,80.71219,6.3247,58.5,336.3,320.0,never,,,
Angantenne,village,80.7279,7.28704,58.5,205.6,577.9,never,,,
Watapuluwa,suburb,80.64147,7.31894,58.5,195.6,355.0,never,,,
Wattarama,village,80.31868,7.3063,58.5,160.1,82.0,<=100 m (33 storeys),,,
Liyangahawela,village,81.02835,6.81362,58.5,269.5,1148.0,never,,,
Horagolla,village,80.08708,7.14194,58.5,129.0,-1.6,ground level,1.873,,
Kaduwela,city,79.98433,6.9357,58.6,103.8,-0.2,ground level,1.902,12 Feb,29 Oct
Kirimetiya,village,80.68758,7.30497,58.6,200.8,431.5,never,,,
Pallewela,village,80.2886,7.29543,58.6,156.6,26.9,<=30 m (10 storeys),,,
Daranagama,village,79.99721,6.97865,58.6,108.7,-4.3,ground level,1.889,27 Jan,14 Nov
Morethota,village,81.01564,6.93183,58.6,256.7,862.5,never,,,
,village,80.72766,7.28789,58.6,205.5,583.4,never,,,
Thihariya,village,80.07243,7.12523,58.7,126.6,1.3,ground level,1.883,,
Kengalla,village,80.72151,7.29166,58.7,204.7,515.0,never,,,
Aswalapitiya,village,80.72498,7.28981,58.7,205.1,586.2,never,,,
Kottawa South,village,79.96955,6.84882,58.7,94.3,-0.3,ground level,1.871,10 Mar,03 Oct
Maberiyatenna,village,80.7641,7.2706,58.8,209.8,766.8,never,,,
Ambalangoda,village,79.96854,6.77991,58.8,86.9,2.3,<=10 m (3 storeys),,28 Mar,14 Sep
Welmilla,village,79.97142,6.74858,58.8,83.5,1.3,ground level,1.882,06 Apr,05 Sep
Makulella,village,81.03074,6.83401,58.8,267.4,1030.9,never,,,
Deegalla,village,81.0033,6.98068,58.8,251.2,1231.8,never,,,
Kothalawala,village,79.97971,6.92269,58.8,102.4,0.5,ground level,1.894,16 Feb,25 Oct
Galdola,village,80.54726,6.27931,58.9,354.9,701.1,never,,,
Hedeniya,town,80.5579,7.3393,58.9,186.3,134.5,<=150 m (50 storeys),,,
Embulpura,village,80.59574,7.33359,58.9,190.4,41.9,<=60 m (20 storeys),,,
Ihala Kalugala,village,80.2753,7.29243,58.9,155.2,33.9,<=60 m (20 storeys),,,
Nugadeniya,village,80.67777,7.312,59.0,199.5,436.2,never,,,
Hokandara North,village,79.9712,6.88365,59.0,98.1,-1.7,ground level,1.885,28 Feb,13 Oct
Nugagala Mawatha,village,80.31774,6.30811,59.0,20.0,113.5,<=150 m (50 storeys),,,
Kottawa,town,79.96553,6.84301,59.1,93.7,1.9,<=10 m (3 storeys),,11 Mar,01 Oct
Imbulgasdeniya,village,80.31845,7.31276,59.1,160.3,18.5,<=30 m (10 storeys),,,
Nangalla,village,80.21471,7.26186,59.1,147.9,65.6,<=100 m (33 storeys),,,
kahawaththa,village,80.26216,7.28794,59.1,153.7,6.0,<=10 m (3 storeys),,,
Helamada,village,80.30336,7.30637,59.1,158.5,119.1,<=150 m (50 storeys),,,
Siyambalape South,village,79.98965,6.97171,59.1,107.7,-0.5,ground level,1.87,31 Jan,11 Nov
Pinhena,village,79.96466,6.83303,59.2,92.6,0.5,ground level,1.857,14 Mar,29 Sep
Kahanthota,village,79.97173,6.89959,59.2,99.8,1.5,ground level,1.864,24 Feb,17 Oct
Keheliyagam,village,80.68403,7.31157,59.2,200.2,436.2,never,,,
Kirilipane,village,80.58617,6.28138,59.2,350.7,687.1,never,,,
Kolongahawatte,village,80.72701,7.2946,59.2,205.1,576.4,never,,,
Kumbalwela,village,81.03158,6.87375,59.2,263.1,1210.3,never,,,
Ranawana,village,80.61923,7.33154,59.2,192.9,3.2,<=10 m (3 storeys),,,
,village,80.74452,7.28581,59.2,207.2,613.7,never,,,
Polwatte Junction,village,80.21764,6.35306,59.3,31.7,2.4,<=10 m (3 storeys),,,
Polgasowita,suburb,79.96386,6.78731,59.3,87.7,-1.2,ground level,1.878,26 Mar,16 Sep
Diyaluma,village,81.02971,6.73076,59.3,278.4,1714.4,never,,,
Opatha,village,80.24515,7.28133,59.3,151.8,33.5,<=60 m (20 storeys),,,
Kottawa North,village,79.96526,6.86065,59.3,95.5,-0.6,ground level,1.854,07 Mar,06 Oct
Arambekade,village,80.55044,7.34412,59.4,185.5,151.3,never,,,
Pittugala,village,79.97114,6.90966,59.4,100.8,2.9,<=10 m (3 storeys),,21 Feb,20 Oct
Beramada,village,80.97654,7.05716,59.4,242.5,1494.7,never,,,
Kalagedihena,village,80.0597,7.11923,59.5,125.2,-4.4,ground level,1.845,,
Galauda,village,80.98534,7.04198,59.5,244.4,1249.8,never,,,
Kirinda,village,81.02774,6.91298,59.5,258.9,783.3,never,,,
Migahawatta,village,79.99218,6.98969,59.5,109.6,6.8,<=10 m (3 storeys),,23 Jan,18 Nov
Hewagama,village,79.97436,6.92898,59.5,102.9,5.9,<=10 m (3 storeys),,15 Feb,26 Oct
Siddamulla,village,79.96127,6.82504,59.5,91.7,-5.4,ground level,1.849,16 Mar,26 Sep
Palagama,village,79.96264,6.77055,59.5,85.9,-0.3,ground level,1.868,31 Mar,11 Sep
